actors,country,description,director,duration,gender,language,nb_episodes,nb_seasons,original_title,public,score,title,year
"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",États-Unis,,"Vince Gilligan,Vince Gilligan,Vince Gilligan",45,"Policier,Drame,Thriller","Anglais,Espagnol",62,5,,Tous publics,9.5,Breaking Bad,2008
"Jessie James Grelle,Bryce Papenbrook,Trina Nishimura,Yûki Kaji,Yui Ishikawa,Marina Inoue,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Matthew Mercer,Jessica Calvello,Hiroshi Kamiya,Yoshimasa Hosoya,Yû Kobayashi,Robert McCollum,Ashly Burch",Japon,,,24,"Animation,Action,Aventure","Japonais,Anglais",98,4,Shingeki no Kyojin,16,9.1,L'Attaque des Titans,2013
"Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,Joachim Król,Hans-Gerd Kilbinger,Simon Roden,Bernt Hahn,Josef Tratnik,Ernst August Schepmann,Robert Steudtner,Renate Fuhrmann,Maximilian Hilbrand,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh",États-Unis,,,99,"Documentaire,Historique,Guerre",Anglais,10,1,,TV-MA,9.1,The Vietnam War,2017
"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Tanya Moodie,Lindsay Duncan,Yasmine Akram,Sian Brooke,David Nellist,Simon Kunz,Wanda Ventham,Timothy Carlton",Royaume-Uni,,"Mark Gatiss,Steven Moffat,Mark Gatiss,Steven Moffat,Mark Gatiss,Steven Moffat",90,"Policier,Drame,Mystère",Anglais,15,4,,Tous publics,9.1,Sherlock,2010
"Rod Serling,Robert McCord,Jay Overholts,James Turley,Vaughn Taylor,David Armstrong,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,Bill Erwin,Nan Peterson,Lew Brown,S. John Launer",États-Unis,,"Rod Serling,Rod Serling,Rod Serling",50,"Drame,Fantastique,Horreur",Anglais,156,5,The Twilight Zone,Tous publics,9.1,La quatrième dimension,1959
"Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Steve Kerr,Michael Wilbon,Deloris Jordan,Andrea Kremer,Bill Wennington,John Paxson,Dennis Rodman,Bob Costas,Ahmad Rashad,David Stern,Jerry Reinsdorf,B.J. Armstrong,Mark Vancil,Sam Smith",États-Unis,,,49,"Documentaire,Biographique,Historique",Anglais,10,1,,7,9.1,The Last Dance,2020
"Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Justine Evans,Barrie Britton,Neil Lucas,Jonathan Smith,Michael Pitts,Stephen Lyle,Matthew Swarbrick,Nick Guy,Kevin Flay,Rick Rosenthal,Adam Chapman,Doug Anderson,Martha Holmes,Jerome Poncet",Royaume-Uni,,,43,Documentaire,Anglais,11,1,Life,Tous publics,9.1,"Life, l'aventure de la vie",2009
"Chris Parnell,Spencer Grammer,Sarah Chalke,Justin Roiland,Kari Wahlgren,Maurice LaMarche,Dan Harmon,Tom Kenny,Nolan North,Ryan Ridley,Brandon Johnson,Cassie Steele,Rob Schrab,Nick Reczynski,Ian Cardoni,Harry Belden,Keith David,Echo Kellum",États-Unis,,"Dan Harmon,Justin Roiland,Dan Harmon,Justin Roiland,Dan Harmon,Justin Roiland",23,"Animation,Aventure,Comédie",Anglais,74,10,Rick and Morty,12,9.1,Rick et Morty,2013
"Kent Williams,Iemasa Kayumi,Matthew Leonhart,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,J. Michael Tatum,Kenta Miyake,Yûki Hayashi,Caitlin Glass,Monica Rial",Japon,,"Hiromu Arakawa,Hiromu Arakawa,Hiromu Arakawa",24,"Animation,Action,Aventure","Japonais,Anglais,Français,Allemand,Portugais,Espagnol",68,1,Hagane no renkinjutsushi,Tous publics,9.1,Fullmetal Alchemist: Brotherhood,2009
"David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliott,Dan Brumm,Myf Warhurst,Meg Washington,Chris Brumm,Daley Pearson,Frederique Sims,Emily Taheny,Richard Jeffery,Leigh Sales,Francis Stanton,Kelly Butler,Hamish Blake,Anthony Field,Patrick Brammall",Australie,,"Joe Brumm,Joe Brumm,Joe Brumm",22,"Animation,Famille",Anglais,194,4,,Tous publics,9.4,Bluey,2018
