actors,country,description,director,duration,gender,language,original_title,presse_score,public,title,viewer_score,year
"(['Artus', 'Clovis Cornillac', 'Marc Riso', 'Alice Belaïdi'],)", France,"Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des emmerdes et d’une formidable expérience humaine qui va les changer à jamais.", Artus,99,"(['Comédie'],)","
Français","(None,)","3,0",Tout public,Un p’tit truc en plus,"4,3",2024
"(['Anamaria Vartolomei', 'Matt Dillon', 'Yvan Attal', 'Marie Gillain'],)", France,Maria n’est plus une enfant et pas encore une adulte lorsqu’elle enflamme la pellicule d’un film sulfureux devenu culte : ,Jessica Palud,100,"(['Biopic', 'Drame'],)","
Anglais, Français","(None,)","3,2",Tout public avec avertissement,Maria,"3,6",2024
"(['Irène Jacob', 'Grégoire Colin', 'Cyril Gueï', 'Bunhok Lim'],)", Cambodge,"1978. Depuis trois ans, le Cambodge, devenu Kampuchéa démocratique, est sous le joug de Pol Pot et ses Khmers rouges. Le pays est économiquement exsangue, et près de deux millions de Cambodgiens ont péri dans un génocide encore tu. Trois Français ont accepté l’invitation du régime et espèrent obtenir un entretien exclusif avec Pol Pot : une journaliste familière du pays, un reporter photographe et un intellectuel sympathisant de l’idéologie révolutionnaire. Mais la réalité qu’ils perçoivent sous la propagande et le traitement qu’on leur réserve va vont peu à peu faire basculer les certitudes de chacun.",Rithy Panh,112,"(['Drame', 'Historique'],)","
Français, Khmer","(None,)","3,3",Tout public,Rendez-vous avec Pol Pot,"3,5",2024
"(['Galatea Bellugi', 'Carlotta Gamba', 'Veronica Lucchesi', 'Maria Vittoria Dallasta'],)", Italie,"Venise, au 18ème siècle. A l'Institut Sant'Ignazio, orphelinat et conservatoire pour jeunes filles, tout le monde s'agite en vue de la visite imminente du nouveau Pape et du grand concert qui sera donné en son honneur. Teresa, jeune domestique silencieuse et solitaire, fait alors une découverte exceptionnelle qui va révolutionner la vie du conservatoire : un piano-forte.",Margherita Vicario,106,"(['Drame', 'Historique', 'Musical'],)","
Italien","(None,)","2,6",Tout public,Gloria!,"3,4",2024
"(['Izïa Higelin', 'Sophie Guillemin', 'Jean-Pierre Darroussin', 'Noémie Lvovsky'],)", France,"Juliette, jeune illustratrice de livres pour enfants, quitte la ville pour retrouver sa famille quelques jours : son père si pudique qu’il ne peut s’exprimer qu’en blagues, sa mère artiste peintre qui croque la vie à pleines dents, sa grand-mère chérie qui perd pied, et sa sœur, mère de famille débordée par un quotidien qui la dévore. Elle croise aussi le chemin de Pollux, jeune homme poétique et attachant. Dans ce joyeux bazar, des souvenirs et des secrets vont remonter à la surface.",Blandine Lenoir,96,"(['Drame'],)","
Français","(None,)","3,4",Tout public,Juliette au printemps,"3,5",2024
"(['Jessica Chastain', 'Peter Sarsgaard', 'Brooke Timber', 'Merritt Wever'],)", U.S.A.,"Sylvia mène une vie simple, structurée par sa fille, son travail et ses réunions des AA. Pourtant, ses retrouvailles avec Saul bouleversent leurs existences, réveillant des souvenirs douloureux que chacun avait enfouis jusque-là.",Michel Franco,100,"(['Drame'],)","
Anglais","(None,)","3,8",Tout public,Memory,"3,9",2024
"(['Chiara Mastroianni', 'Benjamin Biolay', 'Catherine Deneuve', 'Melvil Poupaud'],)", France,C’est l’histoire d’une femme qui s’appelle Chiara.,Christophe Honoré,121,"(['Comédie'],)","
Français, Italien","(None,)","3,6",Tout public,Marcello Mio,"3,0",2024
"(['Rossy de Palma', 'André Dussollier', 'Eduardo Noriega', 'Ben Aldridge'],)", France,"Ex-star de l’opéra, Giovanna fulmine : alors qu’elle a été déclarée morte par erreur, les hommages de la presse tardent à venir. Mike, cascadeur anglais, peut-il décemment trembler devant la mort alors qu’il la défie tous les jours ? Fumer tue, mais Dolorès s’en fout : le jour des 15 ans de sa petite-fille, elle passe unilatéralement un pacte avec Dieu. Alors qu’elle essaie de se suicider, Marie-Cerise, ado harcelée, humiliée et déprimée, est kidnappée et va tout naturellement faire de son ravisseur son psy. Edouard, bien qu’il présente depuis des années une célèbre émission criminelle à la télé, accuse le coup quand sa mortalité se rappelle à lui.",Marjane Satrapi,109,"(['Comédie', 'Drame'],)","
Français","(None,)","2,8",Tout public avec avertissement,Paradis Paris,"2,4",2024
"(['Léa Seydoux', 'Louis Garrel', 'Vincent Lindon', 'Raphaël Quenard'],)", France,"Florence veut présenter David, l’homme dont elle est follement amoureuse, à son père Guillaume. Mais David n’est pas attiré par Florence et souhaite s’en débarrasser en la jetant dans les bras de son ami Willy. Les quatre personnages se retrouvent dans un restaurant au milieu de nulle part.",Quentin Dupieux,80,"(['Comédie'],)","
Français","(None,)","3,8",Tout public,Le Deuxième acte,"3,3",2024
"(['Daniel Auteuil', 'Sandrine Kiberlain', 'Denis Podalydès', 'Bruno Podalydès'],)", France,"Justine, son mari et toute leur bande d'amis trouvent une solution pour résoudre leurs problèmes d'argent : organiser une fausse croisière romantique pour Franck, un gros investisseur, qui cherche à séduire une femme.",Bruno Podalydès,96,"(['Comédie'],)","
Français","(None,)","3,7",Tout public,La Petite vadrouille,"2,6",2024
